rank,country,Population,Year,particulateMatter
1,India,"1,438,069,596",2018,97.1
1,India,"1,438,069,596",2019,83.3
1,India,"1,438,069,596",2020,77.1
1,India,"1,438,069,596",2021,76.9
1,India,"1,438,069,596",2022,65.8
1,India,"1,438,069,596",2023,79.9
2,Bangladesh,"231,402,117",2018,74.3
2,Bangladesh,"231,402,117",2019,65.8
2,Bangladesh,"231,402,117",2020,59
2,Bangladesh,"231,402,117",2021,66.8
2,Bangladesh,"231,402,117",2022,70.9
2,Bangladesh,"231,402,117",2023,73.7
3,Tajikistan,"10,747,209",2018,72.5
3,Tajikistan,"10,747,209",2019,58.1
3,Tajikistan,"10,747,209",2020,51.9
3,Tajikistan,"10,747,209",2021,58.1
3,Tajikistan,"10,747,209",2022,53.3
3,Tajikistan,"10,747,209",2023,54.4
4,Pakistan,"9,750,064",2018,NA
4,Pakistan,"9,750,064",2019,NA
4,Pakistan,"9,750,064",2020,30.9
4,Pakistan,"9,750,064",2021,59.4
4,Pakistan,"9,750,064",2022,46
4,Pakistan,"9,750,064",2023,49
5,Burkina Faso,"22,100,683",2018,NA
5,Burkina Faso,"22,100,683",2019,NA
5,Burkina Faso,"22,100,683",2020,NA
5,Burkina Faso,"22,100,683",2021,NA
5,Burkina Faso,"22,100,683",2022,63
5,Burkina Faso,"22,100,683",2023,46.6
6,Iraq,"43,533,592",2018,NA
6,Iraq,"43,533,592",2019,39.6
6,Iraq,"43,533,592",2020,NA
6,Iraq,"43,533,592",2021,49.7
6,Iraq,"43,533,592",2022,80.1
6,Iraq,"43,533,592",2023,43.8
7,United Arab Emirates,"9,365,145",2018,49.9
7,United Arab Emirates,"9,365,145",2019,38.9
7,United Arab Emirates,"9,365,145",2020,29.2
7,United Arab Emirates,"9,365,145",2021,36
7,United Arab Emirates,"9,365,145",2022,45.9
7,United Arab Emirates,"9,365,145",2023,43
8,Nepal,"30,034,989",2018,54.1
8,Nepal,"30,034,989",2019,44.5
8,Nepal,"30,034,989",2020,39.2
8,Nepal,"30,034,989",2021,46
8,Nepal,"30,034,989",2022,40.1
8,Nepal,"30,034,989",2023,42.4
9,Egypt,"109,262,178",2018,NA
9,Egypt,"109,262,178",2019,18
9,Egypt,"109,262,178",2020,NA
9,Egypt,"109,262,178",2021,29.1
9,Egypt,"109,262,178",2022,46.5
9,Egypt,"109,262,178",2023,42.4
10,Democratic Republic of the Congo,"95,894,118",2018,NA
10,Democratic Republic of the Congo,"95,894,118",2019,32.1
10,Democratic Republic of the Congo,"95,894,118",2020,NA
10,Democratic Republic of the Congo,"95,894,118",2021,NA
10,Democratic Republic of the Congo,"95,894,118",2022,15.5
10,Democratic Republic of the Congo,"95,894,118",2023,40.8
11,Kuwait,"4,250,114",2018,56
11,Kuwait,"4,250,114",2019,38.3
11,Kuwait,"4,250,114",2020,34
11,Kuwait,"4,250,114",2021,29.7
11,Kuwait,"4,250,114",2022,55.8
11,Kuwait,"4,250,114",2023,39.9
12,Bahrain,"1,463,265",2018,59.8
12,Bahrain,"1,463,265",2019,46.8
12,Bahrain,"1,463,265",2020,39.7
12,Bahrain,"1,463,265",2021,49.8
12,Bahrain,"1,463,265",2022,66.6
12,Bahrain,"1,463,265",2023,39.2
13,Qatar,"2,688,235",2018,NA
13,Qatar,"2,688,235",2019,NA
13,Qatar,"2,688,235",2020,44.3
13,Qatar,"2,688,235",2021,38.2
13,Qatar,"2,688,235",2022,42.5
13,Qatar,"2,688,235",2023,37.6
14,Indonesia,"273,753,191",2018,42
14,Indonesia,"273,753,191",2019,51.7
14,Indonesia,"273,753,191",2020,40.7
14,Indonesia,"273,753,191",2021,34.3
14,Indonesia,"273,753,191",2022,30.4
14,Indonesia,"273,753,191",2023,37.1
15,Rwanda,"13,461,888",2018,NA
15,Rwanda,"13,461,888",2019,NA
15,Rwanda,"13,461,888",2020,NA
15,Rwanda,"13,461,888",2021,NA
15,Rwanda,"13,461,888",2022,44
15,Rwanda,"13,461,888",2023,36.8
16,Zimbabwe,"15,993,524",2018,NA
16,Zimbabwe,"15,993,524",2019,NA
16,Zimbabwe,"15,993,524",2020,NA
16,Zimbabwe,"15,993,524",2021,NA
16,Zimbabwe,"15,993,524",2022,NA
16,Zimbabwe,"15,993,524",2023,33.3
17,Ghana,"32,833,031",2018,NA
17,Ghana,"32,833,031",2019,30.3
17,Ghana,"32,833,031",2020,26.9
17,Ghana,"32,833,031",2021,25.9
17,Ghana,"32,833,031",2022,30.2
17,Ghana,"32,833,031",2023,33.2
18,Kyrgyzstan,"6,691,800",2018,NA
18,Kyrgyzstan,"6,691,800",2019,33.2
18,Kyrgyzstan,"6,691,800",2020,43.5
18,Kyrgyzstan,"6,691,800",2021,50.8
18,Kyrgyzstan,"6,691,800",2022,31.1
18,Kyrgyzstan,"6,691,800",2023,33.1
19,China,"1,412,360,000",2018,41.2
19,China,"1,412,360,000",2019,39.1
19,China,"1,412,360,000",2020,34.7
