YEAR,VALUE,COUNTRY,HS CODE
2015,,. WORLD,"8802110115--NEW HELICOPTERS, MILITARY, UNLADEN WGT LT= 2000 KG"
2015,,. WORLD,"8802110160--USED/REBLT HELICOPTERS,MILITARY,UNLDN WT LT=2000KG"
2015,,. WORLD,"8802120120--NEW HELICOPTERS, MILITARY, UNLAD WGT > 2,000 KG"
2015,,. WORLD,"8802120160--USED/REBUILT HELICOP,MILITARY,WGT > 2,000 KG"
2015,,. WORLD,8802200130--NEW MILITARY AIRCRAFT UNLADEN WT 451-2000 KG NESOI
2015,,. WORLD,8802200170--USED/REBUILT MILITARY AIRCRAFT UNLAD WT 451-2000KG
2015,,. WORLD,"8802300120--NEW MILITARY AIRCRFT,NOT FIGHTERS (2000-15000 KG)"
2015,,. WORLD,"8802300170--USED/REBUILT MILITARY AIRCRAFT,(2000-15000 KG)"
2015,,. WORLD,"8802400115--NEW MILITARY FIGHTERS, WEIGHT EXCEEDING 15,000 KG"
2015,,. WORLD,"8802400120--NEW MILITARY CARGO TRANSPORTS,WEIGHT GT 15,000 KG"
2015,,. WORLD,"8802400130--NEW MILITARY AIRCRAFT,NESOI,WEIGHT GT 15,000 KG"
2015,,. WORLD,"8802400180--USED OR REBUILT MILITARY AIRCRAFT,WGT GT 15000KG"
2015,,. WORLD,8807100060--PROPLLRS & ROTORS & PRTS THEREOF FOR MLTARY AIRCFT
2015,,. WORLD,8807200060--UNDERCARRIAGES & PARTS THEREOF FOR MILITRY AIRCRFT
2015,,. WORLD,"8807300060--OTHER PARTS,NESOI,OF MILITARY AIRPLANES/HELICOPTRS"
2015,,. WORLD,"8807909060--OTHER PARTS,NESOI,FOR OTHER MILITARY AIR&SPACECRFT"
2015,,. WORLD,9305913020--SUPPRESSORS OF OTHER MIL WEAPONS HEAD 9301 NESOI
2015,,. WORLD,9305913040--PARTS & ACCES OF OTHER MLTRY WEAPONS OF 9301 NESOI
2015,,Afghanistan,8710000030--TRACKED (INCLUDING HALF-TRACKED) VEHICLES
2015,,Afghanistan,8805210000--AIR COMBAT SIMULATORS  AND PARTS THEREOF
2015,,Afghanistan,9301906000--MILITARY SHOTGUNS
2015,,Afghanistan,"9301909090--MILITARY WEAPONS, EXC ARMS OF HEADING 9307, NESOI"
2015,,Afghanistan,9306210000--SHOTGUN CARTRIDGES AND PARTS THEREOF
2015,,Afghanistan,9306290000--PTS FOR SHOTGUN CARTRIDGES AND AIR GUN PELLETS
2015,,Afghanistan,9306304110--CARTRIDGES FOR RIFLE OR PISTOLS .22 CALIBER
2015,,Afghanistan,"9306304130--CARTRIDGES CONTAINING A PROJECTILE, NESOI"
2015,,Afghanistan,9306304140--EMPTY CARTRIDGES SHELLS FOR RIFLES OR PISTOLS
2015,,Afghanistan,9306304160--CARTRIDGES NOT CONTAINING A PROJECTILE & NT EMPTY
2015,,Afghanistan,"9306308000--PARTS OF CARATRIDGES, NESOI"
2015,,Afghanistan,"9306900040--BOMBS, GRENADES, TORPEDOS, & SIML MUNITIONS OF WAR"
2015,,Afghanistan,"9306900080--PARTS FOR BOMBS, GRENADES, & SIML MUNITIONS OF WAR"
2015,,Albania,"8710000060--ARMORED FIGHTING VEH,MOTORIZED,NESOI"
2015,,Albania,"8710000090--PARTS OF ARMORED FIGHTING VEHICLES,MOTORIZED"
2015,,Albania,8803100060--PROPLLRS & ROTORS & PRTS THEREOF FOR MLTARY AIRCFT
2015,,Albania,"8803300060--OTHER PARTS,NESOI,OF MILITARY AIRPLANES/HELICOPTRS"
2015,,Albania,"8807300060--OTHER PARTS,NESOI,OF MILITARY AIRPLANES/HELICOPTRS"
2015,,Albania,"9306304120--CARTRIDGES FOR RIFLE OR PISTOLS, NESOI"
2015,,Albania,"9306304130--CARTRIDGES CONTAINING A PROJECTILE, NESOI"
2015,,Albania,"9306900040--BOMBS, GRENADES, TORPEDOS, & SIML MUNITIONS OF WAR"
2015,,Albania,9803100000--MILITARY WEARING APPAREL OF ALL TYPES & MATERIALS
2015,,Albania,9803200000--MILITARY EQUIPMENTS NOT IDENTIFIED BY KIND
2015,,Algeria,8407100090--SPK-IGN REC OR ROT INT COM PST TYP A/C ENG EXC CIV
2015,,Algeria,"8411214050--TURBOPRPELLR A/C TBN, EX CIVIL, POWR NT OV 1100 KW"
2015,,Algeria,"8411814050--GAS TURBINE A/C TBN EXC CIVIL, 5000 KW AND UNDER"
2015,,Algeria,"8710000060--ARMORED FIGHTING VEH,MOTORIZED,NESOI"
2015,,Algeria,"8802400120--NEW MILITARY CARGO TRANSPORTS,WEIGHT GT 15,000 KG"
2015,,Algeria,"8803909060--OTHER PARTS,NESOI,FOR OTHER MILITARY AIR&SPACECRFT"
2015,,Algeria,8807100060--PROPLLRS & ROTORS & PRTS THEREOF FOR MLTARY AIRCFT
2015,,Algeria,8807200060--UNDERCARRIAGES & PARTS THEREOF FOR MILITRY AIRCRFT
2015,,Algeria,"8807300060--OTHER PARTS,NESOI,OF MILITARY AIRPLANES/HELICOPTRS"
2015,,Algeria,"8807909060--OTHER PARTS,NESOI,FOR OTHER MILITARY AIR&SPACECRFT"
2015,,Algeria,"9301200000--ROCKET LAUNCHERS & SIMILAR PROJECTORS, MILITARY"
2015,,Algeria,9301903000--MILITARY RIFLES
2015,,Algeria,"9301909030--MACHINE GUNS, MILITARY"
2015,,Algeria,9305911000--PARTS AND ACCESS FOR MILITARY RIFLES
2015,,Algeria,"9306304130--CARTRIDGES CONTAINING A PROJECTILE, NESOI"
2015,,Algeria,"9306900040--BOMBS, GRENADES, TORPEDOS, & SIML MUNITIONS OF WAR"
2015,,Algeria,9803200000--MILITARY EQUIPMENTS NOT IDENTIFIED BY KIND
2015,,Andorra,. DEFENSE (END USE 50000-90)
2015,,Andorra,8804000000--PARACHUTES(ALSO DIRIGIBLE CHUTES)&ROTOCHUTES&PRTS
2015,,Andorra,"8807300060--OTHER PARTS,NESOI,OF MILITARY AIRPLANES/HELICOPTRS"
2015,,Andorra,"9014208080--INST & APPLN, AERONAUTICAL/SPACE NAVIGATION, NESOI"
2015,,Andorra,"9301200000--ROCKET LAUNCHERS & SIMILAR PROJECTORS, MILITARY"
2015,,Andorra,"9306304130--CARTRIDGES CONTAINING A PROJECTILE, NESOI"
2015,,Andorra,"9306900040--BOMBS, GRENADES, TORPEDOS, & SIML MUNITIONS OF WAR"
2015,,Angola,8409100080--PARTS FOR SP-IG OR COMP-IG FOR USE IN A/C EX CIVIL
2015,,Angola,"8411814050--GAS TURBINE A/C TBN EXC CIVIL, 5000 KW AND UNDER"
2015,,Angola,"8411824050--GAS TURBINE A/C TBN EXC CIVIL, OVER 5000 KW"
2015,,Angola,"8411997050--PARTS OF GAS TURBINE A/C ENG, EXC CIVIL A/C"
2015,,Angola,8804000000--PARACHUTES(ALSO DIRIGIBLE CHUTES)&ROTOCHUTES&PRTS
2015,,Angola,"8805100000--AIRCRAFT LAUNCHING GEAR,DECK-ARRESTOR,ETC.& PARTS"
2015,,Angola,"8807909060--OTHER PARTS,NESOI,FOR OTHER MILITARY AIR&SPACECRFT"
2015,,Angola,"9014208080--INST & APPLN, AERONAUTICAL/SPACE NAVIGATION, NESOI"
2015,,Angola,9301903000--MILITARY RIFLES
2015,,Angola,"9306304120--CARTRIDGES FOR RIFLE OR PISTOLS, NESOI"
2015,,Angola,9306304160--CARTRIDGES NOT CONTAINING A PROJECTILE & NT EMPTY
2015,,Angola,9803200000--MILITARY EQUIPMENTS NOT IDENTIFIED BY KIND
2015,,Anguilla,"8710000090--PARTS OF ARMORED FIGHTING VEHICLES,MOTORIZED"
2015,,Anguilla,8803100060--PROPLLRS & ROTORS & PRTS THEREOF FOR MLTARY AIRCFT
2015,,Anguilla,"8803300060--OTHER PARTS,NESOI,OF MILITARY AIRPLANES/HELICOPTRS"
2015,,Anguilla,"8807300060--OTHER PARTS,NESOI,OF MILITARY AIRPLANES/HELICOPTRS"
2015,,Anguilla,9301903000--MILITARY RIFLES
2015,,Anguilla,"9306304130--CARTRIDGES CONTAINING A PROJECTILE, NESOI"
2015,,Anguilla,"9307000000--SWORDS, CUTLASSES, BAYONETS, & SIML ARMS & PARTS"
2015,,Antigua Barbuda,8409100080--PARTS FOR SP-IG OR COMP-IG FOR USE IN A/C EX CIVIL
2015,,Antigua Barbuda,"8411824050--GAS TURBINE A/C TBN EXC CIVIL, OVER 5000 KW"
2015,,Antigua Barbuda,"8411917050--PARTS OF TURBOJET & TURBOPROPELLR A/C ENG,EX CIVIL"
2015,,Antigua Barbuda,"8411997050--PARTS OF GAS TURBINE A/C ENG, EXC CIVIL A/C"
2015,,Antigua Barbuda,"8710000090--PARTS OF ARMORED FIGHTING VEHICLES,MOTORIZED"
2015,,Antigua Barbuda,8803100060--PROPLLRS & ROTORS & PRTS THEREOF FOR MLTARY AIRCFT
2015,,Antigua Barbuda,8803200060--UNDERCARRIAGES & PARTS THEREOF FOR MILITRY AIRCRFT
2015,,Antigua Barbuda,8807100060--PROPLLRS & ROTORS & PRTS THEREOF FOR MLTARY AIRCFT
2015,,Antigua Barbuda,8807200060--UNDERCARRIAGES & PARTS THEREOF FOR MILITRY AIRCRFT
2015,,Antigua Barbuda,"8807300060--OTHER PARTS,NESOI,OF MILITARY AIRPLANES/HELICOPTRS"
2015,,Antigua Barbuda,"8807909060--OTHER PARTS,NESOI,FOR OTHER MILITARY AIR&SPACECRFT"
